Key,Desc,Default,French
Skip to the start or previous audioclip?,,Skip to the start or previous audioclip?,Passer au début ou à AudioClip précédent?
Skips players who have nothing in their hands.,,Skips players who have nothing in their hands.,Saute les joueurs qui n'ont rien dans leurs mains.
Sky,,Sky,Ciel
Smooths the edges of objects to reduce jaggies. Costly performance.,,Smooths the edges of objects to reduce jaggies. Costly performance.,Adoucit les bords des objets pour réduire le crénelage en dépit des performances.
"Smooths the edges of objects to reduce jaggies. Less costly than MSAA, but will slightly blur textures. (Post Processing SMAA)",,"Smooths the edges of objects to reduce jaggies. Less costly than MSAA, but will slightly blur textures. (Post Processing SMAA)","Adoucit les bords des objets pour réduire le crénelage. Moins cher que le MSAA, mais rend légèrement flou les textures. (Calcul après le SMAA)"
Snap,,Snap,Casser
Snap Point Creation Tags,,Snap Point Creation Tags,Création point de synchronisation Mots clés
Snap Point Tags,,Snap Point Tags,Mots-clés point pression
Snap points are just basic snap points so the object snaps into place like a magnet. Delete a snap point by clicking on it.,,Snap points are just basic snap points so the object snaps into place like a magnet. Delete a snap point by clicking on it.,Les points d'accrochage sont des points juste pression de base si l'objet se mette en place comme un aimant. Supprimer un point pression en cliquant dessus.
Snapping,,Snapping,Accrochage
Solitaire,,Solitaire,Solitaire
Solve,,Solve,Résoudre
Sort,,Sort,Trier
Sort Existing,,Sort Existing,Trier existants
Sort Games:,,Sort Games:,Trier Jeux:
Sounds,,Sounds,Son
Space,,Space,Espace
Spades,,Spades,Piques
Spawn,,Spawn,Placer
Spawn In Air,,Spawn In Air,Placer en l'air
Spawn Snap-To-Object,,Spawn Snap-To-Object,Placement magnétique
Spawning Hides Components,,Spawning Hides Components,Cacher la fenêtre des objets
Special Thanks,,Special Thanks,Remerciement spécial
Specular Color,,Specular Color,Couleur spéculaires
Specular Intensity,,Specular Intensity,Intensité spéculaires
Specular Sharpness,,Specular Sharpness,spéculaires Netteté
Split,,Split,Diviser
Split the deck into multiple stacks.,,Split the deck into multiple stacks.,Diviser le paquet en plusieurs piles.
Spread,,Spread,Étaler
Spread cards out on table.,,Spread cards out on table.,Étaler les cartes sur la table.
Spring,,Spring,Printemps
Spring Joint,,Spring Joint,Joint printemps
Square,,Square,Carré
Stackable,,Stackable,empilables
Stacks like poker chips.,,Stacks like poker chips.,Stacks comme des jetons de poker.
Stacks like poker chips. (Note: custom collider will only determine the thickness of the stack),,Stacks like poker chips. (Note: custom collider will only determine the thickness of the stack),Stacks comme des jetons de poker. (Note: collisionneur personnalisé ne déterminer l'épaisseur de la pile)
Stand Up,,Stand Up,Se lever
Standard Deck,,Standard Deck,Plate-forme standard
Start,,Start,Démarrer
State,,State,État
Static,,Static,Statique
Static Friction,,Static Friction,Frottement statique
Stationary grid drawn in world space.,,Stationary grid drawn in world space.,grille stationnaire dessiné dans l'espace mondial.
Stats Monitor,,Stats Monitor,Statistiques à l'écran
Steam ID,,Steam ID,Steam ID
Sticky,,Sticky,Gluant
Sticky Cards,,Sticky Cards,Cartes Post-it
Sticky Grab,,Sticky Grab,Post-it Grab
StickyCardsTooltip,,"When picked up, cards above the grabbed card will also be lifted.","Quand ramassé, cartes au-dessus de la carte saisi seront également levées."
Stop Search,,Stop Search,Arrêter la recherche
Stopwatch,,Stopwatch,Chronomètre
Store,,Store,Boutique
Store mod data on disk to speed up mod loading.,,Store mod data on disk to speed up mod loading.,Stocker les données des Mods sur le disque pour accélérer le chargement.
Straighten self upright when picked up.,,Straighten self upright when picked up.,Redresser auto debout quand ramassé.
Strategy Games,,Strategy Games,Jeux de stratégie
"Strength of the reflectiveness of the object. Higher = Shiny, Lower = Matte.",,"Strength of the reflectiveness of the object. Higher = Shiny, Lower = Matte.","La force du réflexivité de l'objet. Supérieur = brillant, inférieur = mat."
Stretch to Aspect Ratio,,Stretch to Aspect Ratio,Étirement Aspect Ratio
Style,,Style,Style
Suns,,Suns,Suns
Suns Coin 2,,Suns Coin 2,Suns Coin 2
Suns Coin 3,,Suns Coin 3,Suns Coin 3
Suns Coin 4,,Suns Coin 4,Suns Coin 4
Suns Coin 5,,Suns Coin 5,Suns Coin 5
Suns Coin Ace,,Suns Coin Ace,Suns Coin Ace
Suns Coin Blank,,Suns Coin Blank,Suns Coin Blank
Suns Dice,,Suns Dice,Suns Dice
Suns Square 2,,Suns Square 2,Suns Square 2
Suns Square 3,,Suns Square 3,Suns Square 3
Suns Square 4,,Suns Square 4,Suns Square 4
Suns Square 5,,Suns Square 5,Suns Square 5
Suns Square Ace,,Suns Square Ace,Ace Suns Place
Suns Square Blank,,Suns Square Blank,Suns carré blanc
Sunset,,Sunset,Le coucher du soleil
Sync Axis,,Sync Axis,Sync Axis
System,,System,Système
System Console,,System Console,Console
TABLES,,Tables,Tables
TEAMS,,Teams,Les équipes
TIPS & HINTS,,Tips & Hints,Trucs et Astuces
TRANSFORM,,Transform,Transformer
TTS-PaperUI-Atlas,,TTS-PaperUI-Atlas,TTS-PaperUI-Atlas
Tab,,Tab,Languette
Tab1,,Tab1,Tab1
Table,,Table,Table
Table Flip,,Table Flip,Flip Table
"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the ""Hands Zone Tool"".",,"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the ""Hands Zone Tool"".","Les tables sont où vous jouez à des jeux, comme dans la vie réelle. La plus petite table est la table carrée qui se trouve un maximum de 4 joueurs. La table hexagonale peut accueillir un maximum de 6 joueurs. Les sièges table rectangle personnalisé 10 joueurs et toutes les autres tables contiennent un maximum de 8 joueurs. Les sièges peuvent être personnalisés à l'aide de la « Hands Tool Zone »."
"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players. Seats can be customized using the Hands Zone Tool .",,"Tables are where you play games, just like in real life. The smallest table is the square table which sits a max of 4 players. The hexagon table seats a max of 6 players. The custom rectangle table seats 10 players and all other tables hold a max of 8 players.
 Seats can be customized using the ""Hands Zone Tool"". 
  <Click to open page to knowledge base.>","Les tables sont où vous jouez à des jeux, comme dans la vie réelle. La plus petite table est la table carrée qui se trouve un maximum de 4 joueurs. La table hexagonale peut accueillir un maximum de 6 joueurs. Les sièges table rectangle personnalisé 10 joueurs et toutes les autres tables contiennent un maximum de 8 joueurs.
 Les sièges peuvent être personnalisés à l'aide de la « Hands Tool Zone ».
  <Cliquez à la page ouverte à la base de connaissances.>"
Tablet,,Tablet,Tablette
Tabletop Simulator VR Beta,,Tabletop Simulator VR Beta,Beta VR Simulator Tabletop
Tags,,Tags,Mots clés
"Tags can be used to refine whether components interact with certain game systems (for example, Snap Points). Once you have defined a tag here it becomes available to use in those areas.",,"Tags can be used to refine whether components interact with certain game systems (for example, Snap Points). Once you have defined a tag here it becomes available to use in those areas.","Les étiquettes peuvent être utilisés pour affiner la recherche si les composants interagissent avec certains systèmes de jeu (par exemple, des points d'accrochage). Une fois que vous avez défini une étiquette ici, il est disponible à utiliser dans ces domaines."
Tags change how components interact with game systems. If a system has any tags set then only components which have a matching tag will interact with it.,,Tags change how components interact with game systems. If a system has any tags set then only components which have a matching tag will interact with it.,Mots-clés changent la façon dont les composants interagissent avec les systèmes de jeu. Si un système a des balises mis alors que des composants qui ont une étiquette de mise en correspondance d'interagir avec elle.
Takes effect when playing,,Takes effect when playing,Prend effet une fois en jeu
Taking Item Closes Search,,Taking Item Closes Search,Fermer l'interface de recherche
Talk to other people via voice.,,Talk to other people via voice.,Parlez-en à d'autres personnes via la voix.
Tap,,Tap,Menu Contextuel
Tap to bring out the Ping Arrow to point where something should go. Hold and drag your mouse to use the Line Tool.,,Tap to bring out the Ping Arrow to point where something should go. Hold and drag your mouse to use the Line Tool.,Tap to bring out the Ping Arrow to point where something should go. Hold and drag your mouse to use the Line Tool.
Teal,,Teal,Sarcelle
Team,,Team,Équipe
Team Voice Chat,,Team Voice Chat,Tchat Vocal Équipe
Templates,,Templates,Modèles
Text,,Text,Texte
Text Chat,,Text Chat,Tchat Text
The Cloud Manager is the location of files you have uploaded to the Cloud. Click on a file to copy the link URL. Click the triple dot icon for more options. You can also import files into the cloud by clicking the file icon on the top left.,,The Cloud Manager is the location of files you have uploaded to the Cloud. Click on a file to copy the link URL. Click the triple dot icon for more options. You can also import files into the cloud by clicking the file icon on the top left.,Le Cloud Manager est l'emplacement des fichiers que vous avez téléchargés sur le Cloud. Cliquez sur un fichier pour copier l'URL du lien. Cliquez sur l'icône triple de points pour plus d'options. Vous pouvez également importer des fichiers dans le nuage en cliquant sur l'icône du fichier en haut à gauche.
The Complexity of the game you are playing (Used to search for games).,,The Complexity of the game you are playing (Used to search for games).,La complexité du jeu que vous jouez (Utilisé pour rechercher des jeux).
The Contextual Menu brings up a menu with many different and varying options depending on the object you clicked on.,,The Contextual Menu brings up a menu with many different and varying options depending on the object you clicked on.,Le menu contextuel fait apparaître un menu avec de nombreuses options différentes et variables en fonction de l'objet que vous avez cliqué.
The Direction of the axis around which the body is constrained.,,The Direction of the axis around which the body is constrained.,La direction de l'axe autour de laquelle le corps est contraint.
The Global Contextual Menu is where you can use the Camera Saves & Blindfold.,,The Global Contextual Menu is where you can use the Camera Saves & Blindfold.,Le menu contextuel global est l'endroit où vous pouvez utiliser l'appareil photo enregistre et les yeux bandés.
"The Objects menu is where you can spawn all the different kinds of Objects in the games like Components, Tables, Backgrounds, and Saved Objects.",,"The Objects menu is where you can spawn all the different kinds of Objects in the games like Components, Tables, Backgrounds, and Saved Objects.","Le menu Objets est l'endroit où vous pouvez frayer tous les différents types d'objets dans les jeux comme composants, Tableaux, Fond, et des objets enregistrés."
The Position of the anchor around which the joints motion is constrained.,,The Position of the anchor around which the joints motion is constrained.,La position de l'ancrage autour duquel le mouvement des articulations est contrainte.
"The back deck image. Upload your image to a web host, then copy paste the direct link here.",,"The back deck image. Upload your image to a web host, then copy paste the direct link here.","L'image du pont arrière. Téléchargez votre image à un hébergeur, puis copiez collez le lien direct ici."
"The backgrounds not only provide the backdrop while you re playing, but are the main light sources. Custom backgrounds will give you different scenes, but you can only choose one of the included light effects.",,"The backgrounds not only provide the backdrop while you re playing, but are the main light sources. Custom backgrounds will give you different scenes, but you can only choose one of the included light effects.","Les arrière-plans offrent non seulement la toile de fond pendant que vous jouez, mais sont les principales sources de lumière. arrière-plans personnalisés vous donnera différentes scènes, mais vous ne pouvez choisir l'un des effets de lumière inclus."
"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing. The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.",,"The combine tool is a tool where you can link objects together. To unlink objects, click on the original combined object and link to nothing. The combine tool is great for making dials, wheels, roulette tables and even just sticking objects together.","L'outil Combine est un outil où vous pouvez lier des objets ensemble. Pour les objets Délier, cliquez sur l'objet combiné d'origine et un lien vers rien. La moissonneuse-batteuse outil est idéal pour faire des cadrans, des roues, des tables de roulette et même simplement coller des objets ensemble."
